#     R                V
      0.1000000        6.389585  
      0.2000000        29.02332  
      0.3000000        44.69280  
      0.4000000        58.38211  
      0.5000000        70.70470  
      0.6000000        82.16008  
      0.7000000        92.56358  
      0.8000000        102.1161  
      0.9000000        111.8072  
       1.000000        120.0867  
       1.100000        127.3354  
       1.200000        134.1193  
       1.300000        141.0301  
       1.400000        148.0940  
       1.500000        153.7039  
       1.600000        159.7960  
       1.700000        165.8663  
       1.744000        168.3866  
       2.208000        186.6553  
       2.472000        197.1350  
       2.744000        204.9471  
       3.008000        211.9305  
       3.272000        216.3767  
       3.520000        212.5331  
       3.736000        213.9055  
       3.992000        220.4245  
       4.240000        222.4387  
       4.472000        219.0801  
       4.688000        218.5948  
       4.896000        218.0132  
       5.128000        215.6394  
       5.344000        213.0159  
       5.536000        216.9700  
       5.736000        223.0304  
       5.936000        227.3607  
       6.112000        231.3602  
       6.288000        236.6825  
       6.448000        238.0392  
       6.624000        234.7731  
       6.784000        234.7271  
       6.920000        234.4859  
       7.056000        234.9116  
       7.176000        234.0262  
       7.304000        233.4705  
       7.408000        233.6360  
       7.504000        233.7862  
       8.000000        231.2886  
       8.464000        231.0040  
       8.712000        228.4874  
       9.544000        226.3471  
       10.65600        217.0234  
       11.65600        217.1112  
       12.68800        216.8439  
       13.76800        215.3245  
       14.78400        213.0603  
       15.96000        211.0519  
       16.80800        213.0354  
       17.41600        208.8149  
       18.09600        210.3331  
       18.84000        207.5241  
       19.54400        210.2779  
       20.25600        206.1512  
       21.00000        206.4017  
       22.00000        203.7477  
       24.00000        202.9773  
       26.00000        201.3255  
       28.00000        198.4040  
       30.00000        196.9066  
       35.00000        195.1650  
       40.00000        192.1158  
       50.00000        188.7119  
       60.00000        186.9674  
       70.00000        186.6520  
       80.00000        184.8394  
       90.00000        184.6641  
       100.0000        184.7720  
       120.0000        183.6374  
       150.0000        183.0484  
# R in kpc for R0=8kpc; V in km/s
# From http://www.astro.umd.edu/~ssm/data/
